,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1958,1,Farms,35739,16652,0.32504100000000002,0.32504100000000002,0.32504100000000002,0.32504100000000002,4931.7426759999998,713.96862799999997,13439.988281,0.36213000000000001,0.49962000000000001,7.6000000000000004E-4,1,1,1,1.0610200000000001,0.45518999999999998,2.886511,16434.414062
1959,1,Farms,35044,17729,0.22666,0.22666,0.22666,0.22666,2946.7231449999999,719.21734600000002,13648.152344,0.37618000000000001,0.54330999999999996,7.6000000000000004E-4,1,1,1,1.05399,0.43959300000000001,2.893548,16355.827148
1960,1,Farms,35716,17546,0.25236900000000001,0.25236900000000001,0.25236900000000001,0.25236900000000001,3380.686768,716.24585000000002,14072.057617,0.38612999999999997,0.54212000000000005,7.6000000000000004E-4,1,1,1,1.0381,0.433224,2.7916280000000002,15949.832031
1961,1,Farms,36733,18400,0.25237799999999999,0.25237799999999999,0.25237799999999999,0.25237799999999999,3512.5051269999999,698.26501499999995,14121.220703000001,0.3957,0.56433,7.6000000000000004E-4,1,1,1,1.0231699999999999,0.47785100000000003,2.6366670000000001,15329.618164
1962,1,Farms,38110,19701,0.21133299999999999,0.21133299999999999,0.21133299999999999,0.21133299999999999,2998.1293949999999,710.32696499999997,14699.698242,0.40323999999999999,0.59674000000000005,7.6000000000000004E-4,1,1,1,1.03603,0.50013600000000002,2.5914100000000002,14848.683594
1963,1,Farms,39209,20715,0.22434999999999999,0.22434999999999999,0.22434999999999999,0.22434999999999999,3169.733643,694.28704800000003,14629.082031,0.41810000000000003,0.62156,7.6000000000000004E-4,1,1,1,1.05122,0.523752,2.505744,14357.625977
1947,2,"Forestry, fishing, and related activities",1587,717,1.9342710000000001,1.9342710000000001,1.9342710000000001,1.9342710000000001,559.07995600000004,6.2183999999999999,304.70159899999999,0.34683000000000003,0.38384000000000001,1.3699999999999999E-3,1,1,1,0.14821000000000001,7.0860000000000003E-3,1.1950320000000001,333.60632299999997
1948,2,"Forestry, fishing, and related activities",1897,842,1.6269340000000001,1.6269340000000001,1.6269340000000001,1.6269340000000001,699.19714399999998,6.9859020000000003,342.30920400000002,0.31973000000000001,0.41044999999999998,1.3699999999999999E-3,1,1,1,0.15826000000000001,7.6020000000000003E-3,1.096085,336.73931900000002
1949,2,"Forestry, fishing, and related activities",1698,701,1.546783,1.546783,1.546783,1.546783,628.76629600000001,7.2409309999999998,354.805634,0.30115999999999998,0.35408000000000001,1.3699999999999999E-3,1,1,1,0.16882,7.8810000000000009E-3,0.98559600000000003,336.526093
1950,2,"Forestry, fishing, and related activities",2175,998,1.52003,1.52003,1.52003,1.52003,777.72491500000001,7.863899,385.33108499999997,0.37481999999999999,0.47794999999999999,1.3699999999999999E-3,1,1,1,0.17949999999999999,8.685E-3,1.1518630000000001,335.50412
1951,2,"Forestry, fishing, and related activities",2480,1145,1.4975039999999999,1.4975039999999999,1.4975039999999999,1.4975039999999999,890.55285600000002,8.7691420000000004,429.68798800000002,0.38468999999999998,0.49245,1.3699999999999999E-3,1,1,1,0.188,2.9377E-2,1.347221,340.948669
