Dataset,Table,Line,Label,Unit,Year,Value
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2016,1.028057e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2017,1.072556e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2018,1.114393e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2019,1.163032e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2020,1.218447e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2021,1.360415e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2022,1.543579e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2023,1.632508e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2024,1.688676e6
FixedAssets,FAAt804,01,Current-cost depreciation of consumer durable goods,Millions of dollars,2025,
