Item,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
   Wages and salaries,50459,46213,39156,30513,29026,33733,36721,41953,46138,43012,45983,49857,62079,82088,105802,116800,117557,112045,123028,135464,134675,147175,171593,185634,198996,197320,212221,229108,240029,241389,259923,273010,280663,299453,314914,337842,363752,400297,428979,471960,518311,551537,584528,638786,708775,772304,814881,899782,994220,1120669,1253385,1373520,1511529,1587709,1677686,1845126,1982765,2104117,2257623,2440649,2584336,2743506,2817229,2968506,3082660,3240604,3422112,3620594,3881246,4186179,4465176,4832430,4961629,5004096,5146959,5430827,5702993,6068318,6407285,6545949,6257281,6380110,6634020,6936133,7122593,7485778,7869599,8102227,8485016,8910107,9337004,9472949,10326157,11141606,11753395,12409992
       To persons,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,135440,134620,147135,171484,185506,198861,197130,212016,228888,239810,241171,259689,272696,280352,299185,314673,337601,363561,400116,428796,471749,518096,551309,584281,638503,708467,771952,814481,899360,993756,1120166,1252884,1372957,1510862,1586977,1676939,1844296,1981904,2101427,2255273,2438787,2582034,2740027,2813188,2963745,3077520,3234646,3415843,3614288,3874574,4179179,4453680,4820551,4949123,4991274,5133597,5416279,5686583,6051670,6391173,6528731,6243370,6366580,6620077,6921822,7107381,7469829,7852904,8084909,8468063,8892882,9318094,9458516,10307882,11115106,11724009,12379217
       To the rest of the world,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,24,55,40,109,128,135,190,205,220,219,218,234,314,311,268,241,241,191,181,183,211,215,228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,2690,2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,11496,11879,12507,12823,13361,14547,16410,16648,16113,17218,13912,13530,13943,14311,15212,15949,16695,17317,16954,17225,18910,14432,18276,26500,29386,30775
   Supplements to wages and salaries,948,953,914,825,760,819,945,1335,2171,2399,2568,2889,4102,5938,6912,7572,8811,10480,9264,8763,9601,11016,14098,15452,16256,16876,18420,20249,22625,23353,25987,28428,29903,32844,35557,38187,41658,48928,52781,58779,66125,71787,80446,92548,103921,115433,132392,148602,171667,196195,223917,248826,281152,305465,334976,370957,404774,439729,466139,508205,556550,599175,636038,702705,737949,769603,780066,800473,831974,889522,944757,1022200,1084714,1139272,1215337,1298474,1374728,1422938,1482083,1522730,1509910,1552859,1599993,1639238,1721044,1773876,1839937,1874870,1949962,2057580,2121468,2132796,2243400,2320608,2474983,2639130
 Taxes on production and imports,6824,6971,6669,6570,6864,7625,7990,8461,8941,8932,9146,9795,11054,11512,12431,13711,15095,16832,18106,19726,20904,22950,24745,27121,29101,28889,31467,34237,36616,37720,41052,44547,46968,50382,53386,57269,60709,63211,67937,76407,83856,91413,100493,107928,117220,124902,135292,146388,159664,170898,180101,200330,235644,240933,263281,289773,308133,323373,347545,374464,398867,424990,457091,483375,503126,545248,557903,580753,611614,639473,673585,708556,727690,760030,805616,868098,942438,997039,1036829,1049740,1026817,1063073,1103723,1136114,1185823,1237712,1273454,1309126,1363971,1457094,1533632,1521265,1700086,1834472,1861013,1954685
 Less: Subsidies,46,73,145,117,166,467,598,289,347,479,796,748,456,520,583,1041,1144,1359,398,540,498,843,1048,774,514,327,201,742,1132,1368,1058,1146,2014,2273,2234,2729,3007,3949,3811,4174,4534,4777,4675,6636,5230,3307,4494,5125,7100,8936,8531,9800,11473,15017,21304,21065,21360,24895,30282,29501,27428,26994,27488,30088,36681,32523,34812,35234,33810,36368,45209,45840,58710,41396,49057,46386,60911,51467,54584,52557,58347,55808,60008,58037,59720,58090,57192,61748,59875,63320,72956,698507,626071,127995,102252,94239
 Net operating surplus,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,130107,130950,136999,149448,159276,171552,190427,204536,207157,221189,227377,221168,245616,278308,315863,321568,354978,402881,454097,522253,559577,571731,665260,679086,759925,913003,970456,972164,1040201,1155301,1223169,1238581,1250156,1320074,1412576,1569450,1699943,1874202,2036948,2130673,2223244,2318144,2383827,2490794,2642691,2872444,3165894,3464382,3337568,3153837,3179409,3648901,3871930,4178614,4259127,4490116,4539256,4519421,4656172,4919011,5086280,5203344,6173457,6578945,6927802,7295448
   Private enterprises,35229,28327,20545,13120,12140,16289,20933,23387,26380,22766,25141,29465,40149,52932,62317,63530,60749,62614,67634,79979,73765,84874,96355,96699,98097,98903,112552,114408,117340,117036,129563,130483,136661,149050,158462,170686,189640,204148,206879,220736,227214,222202,247131,279244,317821,324014,359047,405267,457055,524631,562276,576212,669977,682503,761809,913870,968585,969623,1037453,1149745,1215911,1234853,1241938,1309630,1401145,1556794,1683436,1856448,2018869,2113799,2206415,2306690,2378169,2483221,2637571,2872089,3169343,3470287,3350439,3170564,3193964,3667447,3889771,4192260,4272770,4498591,4542103,4521575,4660424,4923603,5098420,5206406,6184389,6594957,6974720,7342908
"     Net interest and miscellaneous payments, domestic industries",4038,4256,4298,4086,3673,3807,3880,3651,3589,3571,3602,3327,3256,3181,2898,2486,2347,1800,2272,2378,2657,2968,3429,3868,4403,5172,5745,6445,7630,9043,9205,10146,11734,13380,14382,16480,18574,21320,24340,26515,33241,40236,44449,48975,57951,73598,85253,87058,101945,116037,139387,184013,233387,272993,286596,331112,352289,374824,378296,409716,463404,471110,438039,400982,389907,389644,408671,415889,455479,511833,518843,603736,627100,550295,518771,459037,574129,702095,813507,851777,706240,610260,574894,609967,552747,586693,661192,666724,720494,756397,754522,751128,698044,688984,647380,611088
     Business current transfer payments (net),511,467,538,579,515,502,506,533,524,410,435,451,527,545,642,812,891,692,715,707,688,824,1159,1199,1153,916,1298,1651,1823,1704,1656,1744,1899,2119,2527,3005,3485,3390,3628,4182,4799,4356,4158,4779,5741,6787,9036,9136,8081,10375,12753,13998,16914,19318,21681,29159,34060,35961,33292,32755,38266,39178,38890,39720,39388,40714,44967,52645,50061,64078,67684,85173,99226,80755,76048,81963,90641,79818,97247,112781,125118,126327,130122,95532,107299,135474,153909,162512,142925,155811,161396,146079,193174,252829,238648,286430
