Quantity Index Labor Hours (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Real estate,82.028000000000006,81.241,84.29,83.296000000000006,84.385000000000005,85.334000000000003,90.29,92.201999999999998,94.25,96.331999999999994,95.111000000000004,91.488,87.483999999999995,85.67,86.206999999999994,89.301000000000002,91.828000000000003,91.728999999999999,93.998000000000005,96.248000000000005,100,105.339,106.69199999999999,104.358,111.178,116.69499999999999,116.14100000000001,115.80800000000001
Rental and leasing services and lessors of intangible assets,102.989,106.298,109.685,108.306,110.452,108.48699999999999,104.095,106.041,111.526,112.77,105.855,104.733,91.301000000000002,88.272999999999996,86.953999999999994,88.701999999999998,93.418000000000006,94.543000000000006,98.069000000000003,98.210999999999999,100,102.246,107.968,84.903000000000006,87.123000000000005,94.765000000000001,98.421999999999997,95.427999999999997
Legal services,91.852000000000004,99.393000000000001,98.784999999999997,99.108000000000004,102.077,100.857,105.267,104.11199999999999,105.22,104.941,101.774,104.015,100.532,99.668999999999997,102.253,99.41,98.960999999999999,99.471000000000004,98.212000000000003,100.071,100,101.871,99.281000000000006,95.968000000000004,98.606999999999999,97.950999999999993,100.822,100.63
Computer systems design and related services,39.947000000000003,49.417000000000002,56.654000000000003,60.945999999999998,62.784999999999997,57.094000000000001,55.417000000000002,56.604999999999997,59.884,63.743000000000002,68.870999999999995,73.658000000000001,72.498999999999995,73.573999999999998,77.349000000000004,80.84,84.86,87.98,93.094999999999999,97.903000000000006,100,101.95699999999999,106.82599999999999,106.773,111.375,117.497,118.761,116.931
"Miscellaneous professional, scientific, and technical services",66.981999999999999,73.016999999999996,74.566000000000003,77.623000000000005,78.444999999999993,76.266999999999996,75.513999999999996,78.545000000000002,81.81,85.186999999999998,88.697999999999993,88.942999999999998,84.6,83.763000000000005,87.581999999999994,89.308999999999997,91.308000000000007,93.7,96.555999999999997,98.694000000000003,100,102.67400000000001,105.879,102.63500000000001,108.346,115.73099999999999,118.086,120.544
Management of companies and enterprises,65.051000000000002,69.789000000000001,70.186999999999998,72.281999999999996,69.67,66.323999999999998,66.876999999999995,70.376000000000005,70.745000000000005,73.972999999999999,76.477000000000004,79.558999999999997,78.394999999999996,81.611000000000004,83.787999999999997,85.277000000000001,90.031000000000006,93.05,96.212999999999994,99.097999999999999,100,103.128,105.18600000000001,102.744,107.498,109.681,110.822,110.224
Administrative and support services,71.150999999999996,78.974999999999994,83.171999999999997,86.313999999999993,82.536000000000001,80.905000000000001,80.563000000000002,83.472999999999999,85.813999999999993,89.516000000000005,90.918000000000006,87.521000000000001,77.741,80.966999999999999,84.498000000000005,88.046000000000006,90.838999999999999,94.061000000000007,96.355000000000004,98.343000000000004,100,100.678,100.479,92.899000000000001,101.212,105.762,103.81,101.51300000000001
Waste management and remediation services,62.673999999999999,67.731999999999999,70.201999999999998,68.19,70.662999999999997,74.438000000000002,74.162000000000006,74.712999999999994,78.954999999999998,78.769000000000005,82.046000000000006,84.594999999999999,81.13,84.05,87.457999999999998,86.495000000000005,89.355000000000004,93.067999999999998,92.95,98.676000000000002,100,103.964,108.982,106.827,108.29300000000001,114.592,117.99,123.937
Educational services,65.641000000000005,65.850999999999999,67.826999999999998,69.956999999999994,73.191000000000003,76.45,75.632000000000005,77.197000000000003,78.826999999999998,80.046999999999997,81.588999999999999,83.632999999999996,84.572000000000003,85.727999999999994,88.415999999999997,91.861000000000004,93.664000000000001,94.436999999999998,95.519000000000005,98.388000000000005,100,103.011,104.47799999999999,96.46,100.324,105.376,107.54600000000001,109.37
Ambulatory health care services,60.015000000000001,58.545000000000002,58.576000000000001,59.65,61.286000000000001,64.826999999999998,68.236000000000004,69.638999999999996,71.438999999999993,74.367999999999995,76.239999999999995,77.769000000000005,79.605999999999995,82.765000000000001,85.4,89.373999999999995,91.426000000000002,92.546999999999997,95.433000000000007,97.747,100,104.343,106.42700000000001,102.929,108.97499999999999,112.59,117.857,120.60599999999999
