Production Account Quantity Index Value Added (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Legal services,95.768000000000001,99.468000000000004,102.577,105.715,108.78700000000001,109.077,113.033,114.642,112.886,113.67100000000001,115.235,124.65,108.77,100.46899999999999,101.37,98.150999999999996,95.599000000000004,94.831000000000003,97.158000000000001,100.884,100,101.10299999999999,101.745,95.474000000000004,104.246,105.113,102.512,101.93300000000001
Computer systems design and related services,14.962,18.204000000000001,20.791,22.585000000000001,23.663,22.986999999999998,25.741,29.047000000000001,32.808999999999997,36.56,41.588000000000001,45.168999999999997,47.741,53.526000000000003,59.65,68.274000000000001,70.945999999999998,75.748999999999995,83.3,91.346000000000004,100,114.654,124.821,134.34200000000001,157.56800000000001,173.11799999999999,185.49100000000001,199.05600000000001
"Miscellaneous professional, scientific, and technical services",58.042000000000002,59.500999999999998,62.122,65.308000000000007,67.421999999999997,70.402000000000001,69.340999999999994,70.953000000000003,73.555999999999997,75.988,77.975999999999999,84.326999999999998,79.203999999999994,82.078000000000003,85.031000000000006,88.233000000000004,88.962999999999994,93.238,96.387,97.088999999999999,100,105.545,111.607,111.95099999999999,127.398,138.952,146.68600000000001,150.41900000000001
Management of companies and enterprises,66.572000000000003,68.185000000000002,68.367000000000004,72.114999999999995,75.271000000000001,74.453000000000003,77.209000000000003,72.900000000000006,72.963999999999999,72.846999999999994,71.391000000000005,71.816000000000003,65.706999999999994,70.843999999999994,73.805999999999997,79.617999999999995,83.861000000000004,89.44,91.992999999999995,93.355000000000004,100,106.71299999999999,113.92100000000001,116.584,130.029,142.16300000000001,145.357,150.10900000000001
Administrative and support services,51.206000000000003,53.293999999999997,56.161000000000001,60.658000000000001,61.591000000000001,61.017000000000003,65.495999999999995,69.462999999999994,75.864999999999995,78.308000000000007,82.653999999999996,82.828000000000003,75.600999999999999,79.637,84.013999999999996,87.242000000000004,89.091999999999999,92.463999999999999,93.774000000000001,94.251999999999995,100,105.05500000000001,108.002,102.31399999999999,114.998,125.58,125.372,123.673
Waste management and remediation services,66.855999999999995,69.256,73.876000000000005,74.103999999999999,76.277000000000001,79.001000000000005,81.662999999999997,80.034999999999997,85.918999999999997,80.447000000000003,87.661000000000001,89.486999999999995,88.391000000000005,108.52,94.881,94.039000000000001,93.001999999999995,95.552000000000007,96.025999999999996,91.326999999999998,100,101.58199999999999,100.69799999999999,98.216999999999999,108.43899999999999,113.012,105.855,105.893
Educational services,65.616,64.819000000000003,67.822000000000003,70.277000000000001,72.194999999999993,72.531000000000006,76.091999999999999,80.742999999999995,79.373999999999995,81.341999999999999,82.787999999999997,88.281999999999996,95.42,98.552999999999997,99.399000000000001,99.837999999999994,98.42,99.298000000000002,99.381,101.69799999999999,100,102.218,104.729,96.241,98.799000000000007,106.40900000000001,109.095,112.09399999999999
Ambulatory health care services,49.503,49.537999999999997,50.933999999999997,53.442,55.32,58.506,60.35,63.548999999999999,66.066999999999993,69.759,69.748000000000005,74.796999999999997,76.427999999999997,78.355999999999995,81.055999999999997,82.677000000000007,85.352999999999994,87.227000000000004,92.150999999999996,96.53,100,103.789,108.992,104.33499999999999,113.093,120.023,130.65199999999999,137.18600000000001
Hospitals and nursing and residential care facilities,62.679000000000002,63.246000000000002,65.093999999999994,66.254999999999995,67.417000000000002,69.8,72.747,75.876000000000005,76.313999999999993,78.763000000000005,80.072000000000003,84.96,88.051000000000002,87.619,88.98,90.316999999999993,91.441999999999993,93.463999999999999,97.075000000000003,98.332999999999998,100,101.83,102.74,102.952,104.41200000000001,107.13200000000001,108.355,111.505
Social assistance,58.552,60.81,64.709000000000003,66.915000000000006,68.34,69.372,74.281999999999996,75.682000000000002,77.918999999999997,79.201999999999998,80.590999999999994,83.489000000000004,83.049000000000007,83.566999999999993,80.909000000000006,85.956999999999994,89.22,92.399000000000001,95.028999999999996,97.46,100,103.387,108.672,105.124,106.998,118.636,122.16800000000001,132.37
"Performing arts, spectator sports, museums, and related activities",56.04,59.67,61.078000000000003,63.798000000000002,64.364999999999995,68.840999999999994,72.445999999999998,73.301000000000002,71.962999999999994,75.747,74.239000000000004,77.564999999999998,78.938999999999993,81.227000000000004,85.741,91.96,92.924999999999997,97.55,93.102999999999994,96.66,100,105.75700000000001,107.721,74.23,88.463999999999999,109.105,119.792,121.056
"Amusements, gambling, and recreation industries",79.978999999999999,75.47,79.48,84.05,73.174000000000007,74.432000000000002,75.819999999999993,80.483999999999995,81.99,81.808999999999997,86.475999999999999,84.578999999999994,79.55,87.343999999999994,87.197999999999993,89.447000000000003,91.777000000000001,94.611999999999995,95.144999999999996,97.144999999999996,100,101.39700000000001,102.518,70.385000000000005,94.796999999999997,106.49,107.589,109.252
Accommodation,69.965000000000003,71.304000000000002,75.536000000000001,81.194000000000003,74.287000000000006,75.537999999999997,76.66,82.52,82.141999999999996,84.379000000000005,86.353999999999999,82.784000000000006,72.061999999999998,76.783000000000001,82.551000000000002,83.388999999999996,87.968000000000004,89.507999999999996,97.228999999999999,96.468999999999994,100,100.779,102.747,76.585999999999999,98.144999999999996,101.498,109.04900000000001,111.471
Food services and drinking places,67.278000000000006,70.492000000000004,75.180999999999997,79.412999999999997,79.753,81.227000000000004,83.775000000000006,87.197999999999993,87.606999999999999,89.968999999999994,88.165999999999997,85.358999999999995,80.346000000000004,83.120999999999995,85.367999999999995,87.084999999999994,88.92,92.78,96.433000000000007,98.332999999999998,100,101.122,103.592,77.477999999999994,96.087000000000003,101.56699999999999,102.328,101.36199999999999
"Other services, except government",104.922,109.303,110.122,112.54900000000001,101.29900000000001,104.101,101.22199999999999,102.55200000000001,103.227,103.688,101.422,97.652000000000001,91.992000000000004,90.495999999999995,89.727999999999994,91.129000000000005,92.046000000000006,96.24,97.941000000000003,97.938000000000002,100,103.24,103.655,93.406000000000006,96.281999999999996,100.667,95.245000000000005,94.102000000000004
Federal,83.284000000000006,82.822999999999993,82.331000000000003,83.58,82.896000000000001,84.039000000000001,86.182000000000002,87.682000000000002,89.905000000000001,90.843999999999994,91.328000000000003,93.097999999999999,95,97.629000000000005,97.570999999999998,97.763999999999996,96.974000000000004,96.489000000000004,96.984999999999999,99.143000000000001,100,100.309,102.708,105.089,105.054,107.202,108.489,111.357
State and local,79.102000000000004,80.930000000000007,83.006,84.573999999999998,86.430999999999997,88.683000000000007,89.792000000000002,90.650999999999996,91.685000000000002,92.932000000000002,94.521000000000001,95.876999999999995,95.778999999999996,96.156999999999996,95.864999999999995,96.004999999999995,96.83,97.771000000000001,97.841999999999999,98.965999999999994,100,102.03400000000001,103.444,101.86,103.19,104.702,106.173,108.03100000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
