Integrated Total Factor Productivity* (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Food and beverage and tobacco products,100.54900000000001,100.18300000000001,100.142,99.391000000000005,100.041,98.272000000000006,100.06399999999999,100.688,100.652,103.008,103.193,101.658,102.702,101.32599999999999,100.383,99.596999999999994,100.416,100.467,100.76,98.974000000000004,100,99.216999999999999,97.581000000000003,97.876000000000005,98.968999999999994,99.284000000000006,98.834000000000003,98.542000000000002
Textile mills and textile product mills,88.600999999999999,89.408000000000001,91.096999999999994,93.49,92.724000000000004,93.266000000000005,91.561000000000007,98.597999999999999,98.484999999999999,98.531000000000006,99.769000000000005,100.07599999999999,96.335999999999999,97.751999999999995,94.988,97.6,99.518000000000001,101.39400000000001,99.866,100.143,100,98.340999999999994,97.796999999999997,98.037000000000006,100.88200000000001,97.302000000000007,97.472999999999999,98.028999999999996
Apparel and leather and allied products,89.394999999999996,88.885000000000005,89.210999999999999,92.076999999999998,91.623999999999995,92.091999999999999,92.117000000000004,94.102999999999994,94.227000000000004,93.641999999999996,91.498000000000005,95.724000000000004,92.960999999999999,97.48,98.962999999999994,95.930999999999997,98.911000000000001,98.706000000000003,94.748999999999995,96.99,100,102.248,103.41800000000001,110.495,122.148,119.342,121.363,126.74
Paper products,100.645,98.855000000000004,100.58499999999999,99.515000000000001,96.537999999999997,98.74,100.209,103.232,102.61799999999999,105.288,103.679,100.79,104.7,102.42,101.218,101.569,102.334,102.605,103.298,102.379,100,101.908,103.523,107.10299999999999,104.804,100.756,100.474,100.491
Printing and related support activities,75.991,77.271000000000001,77.715999999999994,79.608999999999995,81.492000000000004,85.043999999999997,86.900999999999996,88.218000000000004,89.378,90.376000000000005,91.542000000000002,92.668000000000006,90.515000000000001,92.590999999999994,95.16,96.343999999999994,97.924999999999997,97.665000000000006,98.540999999999997,99.899000000000001,100,102.32299999999999,100.19199999999999,99.504000000000005,102.134,96.228999999999999,92.555000000000007,91.828000000000003
Petroleum and coal products,97.436999999999998,100.664,99.51,100.34099999999999,105.259,100.8,111.608,116.968,116.151,111.532,111.70699999999999,112.37,111.001,105.76900000000001,101.989,99.942999999999998,101.18,101.982,101.377,97.977999999999994,100,100.349,103.125,95.346999999999994,100.837,99.103999999999999,102.181,107.759
Chemical products,112.663,109.72499999999999,111.20099999999999,110.877,110.14,112.236,112.17,114.791,112.22,115.628,117.292,112.226,111.163,113.69199999999999,109.629,106.309,106.479,104.806,102.22199999999999,102.551,100,104.048,99.793000000000006,102.074,103.94799999999999,102.724,101.687,105.90900000000001
Plastics and rubber products,91.704999999999998,92.347999999999999,94.381,96.421000000000006,95.379000000000005,95.581999999999994,98.1,100.735,100.621,98.456999999999994,99.355999999999995,95.858999999999995,99.201999999999998,100.532,99.772999999999996,100.242,99.688000000000002,98.572999999999993,100.938,100.529,100,100.572,100.325,99.516999999999996,99.334999999999994,94.948999999999998,94.245000000000005,94.248999999999995
Wholesale trade,90.963999999999999,93.718000000000004,94.284000000000006,95.369,94.677000000000007,95.751999999999995,99.69,100.959,102.258,100.548,101.584,101.039,97.025999999999996,100.05800000000001,98.852000000000004,99.745999999999995,99.539000000000001,100.604,102.11799999999999,100.875,100,99.948999999999998,99.44,102.121,99.06,95.956000000000003,94.376000000000005,93.453999999999994
Retail trade,81.486999999999995,86.75,86.292000000000002,87.16,89.783000000000001,91.888000000000005,94.206999999999994,93.721000000000004,94.932000000000002,94.912999999999997,92.06,91.054000000000002,91.286000000000001,92.622,91.561999999999998,90.832999999999998,93.423000000000002,93.66,95.241,97.984999999999999,100,102.658,105.32299999999999,105.045,102.57899999999999,100.137,106.247,112.70399999999999
Air transportation,86.028999999999996,81.421999999999997,81.503,73.587000000000003,62.353000000000002,64.457999999999998,68.573999999999998,74.637,76.995999999999995,82.495000000000005,86.3,85.409000000000006,86.894999999999996,92.644000000000005,91.960999999999999,90.793000000000006,93.218999999999994,93.489000000000004,93.474999999999994,96.466999999999999,100,102.72199999999999,102.36499999999999,79.218999999999994,99.043999999999997,104.55200000000001,103.94199999999999,104.765
Rail transportation,80.221999999999994,83.284000000000006,86.32,89.606999999999999,92.430999999999997,90.134,94.894999999999996,96.653999999999996,96.840999999999994,99.397000000000006,97.915000000000006,100.745,96.501999999999995,98.444999999999993,96.92,97.486000000000004,97.558999999999997,98.977000000000004,99.481999999999999,97.956000000000003,100,101.4,99.209000000000003,95.334000000000003,101.28100000000001,101.842,99.138999999999996,98.98
