Production Account Gross Output (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hospitals and nursing and residential care facilities,364678,389857,407176,430846,465487,509281,544579,578399,622294,662888,699813,747832,794989,829950,870929,916859,943185,962337,1017421,1056957,1084854,1127834,1186153,1171922,1267462,1364771,1469212,1598457
Social assistance,61339,66049,73495,82828,93315,100180,106041,109733,116456,123946,133490,144821,152944,162110,163923,169000,174010,183811,194616,208316,223508,235261,246728,252514,277316,301662,332177,352390
"Performing arts, spectator sports, museums, and related activities",57331,62193,66474,73059,80033,87861,94079,97301,102341,112051,121747,126743,128382,129087,131484,139431,145631,156801,168278,177043,192947,206140,218634,164160,203409,262331,281866,312772
"Amusements, gambling, and recreation industries",65179,65874,70035,71909,73412,72616,79095,86555,91111,101467,109702,110388,105616,106133,109439,112582,117428,122560,129256,135888,143617,150918,159784,125474,165198,193282,214852,227924
Accommodation,108266,114949,124299,140055,134757,137768,140581,151942,164612,173487,177627,182506,167434,169896,181799,196692,206427,223798,237108,246553,258207,271419,279649,160412,220684,302205,340869,345621
Food services and drinking places,289400,306419,322261,347204,361751,381789,400920,424948,445992,470155,487789,497714,494556,510832,544678,577933,600865,639425,692411,726944,765141,807492,852004,723834,954200,1099568,1216605,1279013
"Other services, except government",346454,378162,395932,419114,435661,451474,461869,480262,489398,514924,527493,541454,512922,526002,539128,565864,576265,614884,638599,669635,695484,727148,761764,717808,794005,911116,1002878,1074219
Federal,632930,629704,645586,658493,733803,793250,888159,957984,1052538,1120488,1149547,1213012,1225644,1289119,1308361,1330939,1309964,1317714,1315349,1327718,1346474,1449253,1521027,1579329,1739747,1865265,1929140,2007605
State and local,1306026,1371727,1449564,1517919,1712794,1810085,1927890,2047770,2272322,2452503,2577739,2645502,2581645,2618823,2670011,2781160,2941909,3051840,3128853,3220229,3332936,3611927,3794287,3821742,4278856,4871831,4995435,5142399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
