Production Account Value Added (Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Miscellaneous professional, scientific, and technical services",318161,338175,370062,406220,425558,453005,457962,486068,519367,560465,597319,656980,626544,653863,682313,717389,730440,768933,815319,825845,862445,920580,978033,985131,1114116,1239341,1359314,1435063
Management of companies and enterprises,125072,138668,148033,170651,173102,174438,185009,202449,213326,229657,250241,255424,244103,264348,276804,300920,318206,330837,345605,347881,368625,386736,403868,403080,443793,477507,501772,542220
Administrative and support services,191017,206353,224807,253112,263702,266912,285314,310366,342715,363695,391316,397709,370085,386157,408005,427386,441816,466910,487200,505887,543408,574993,603790,581148,663666,752694,792943,813340
Waste management and remediation services,21355,22178,24436,25562,27867,29722,31559,31191,32839,30809,34483,35853,37381,46628,41257,41396,41684,44317,45963,45907,51408,55045,56840,58865,65930,71753,79593,85754
Educational services,76709,79553,87270,94787,101333,106099,116348,128608,132714,142385,150973,167194,187608,198298,205581,213454,216232,224014,230558,242393,244711,256289,269293,254624,268846,294786,315091,333398
Ambulatory health care services,250446,258114,270781,287823,310359,333481,349828,374379,396103,422271,441533,480096,506209,530984,554663,573477,592939,609634,641558,679093,708185,738061,781759,760845,846419,904833,1002073,1076306
Hospitals and nursing and residential care facilities,221293,232269,245212,257178,279996,305200,328705,353687,365377,389836,410338,447481,481137,487882,506715,522934,535852,551034,584347,608030,628320,652959,677289,697017,722739,768889,831303,894442
Social assistance,39251,42766,47617,52303,55485,59331,64680,67302,71967,76397,80271,85100,87147,89060,88012,95345,101191,106028,112591,120475,127201,135073,145780,148323,154740,177477,197549,224591
"Performing arts, spectator sports, museums, and related activities",35167,38225,41764,46493,48842,53813,58585,61247,62989,69095,70697,76454,79927,82900,87887,96418,98711,105964,105676,113996,120751,129798,134759,96448,113835,144027,168841,183931
"Amusements, gambling, and recreation industries",40079,39161,42603,45991,41326,43169,45136,48558,50587,52155,56636,56315,54474,58826,59577,62767,65317,68426,71592,75308,77069,80205,84067,58848,79460,94296,105801,112709
Accommodation,62474,66855,74656,83055,80138,82796,83488,91161,96149,102057,109313,107958,92840,96363,105089,110605,118672,125439,141100,143856,151590,159187,168034,104387,149330,184005,209556,218470
Food services and drinking places,133321,144980,159716,172983,180713,193338,201618,213694,220503,232928,237995,240961,246618,254859,266761,286018,298704,317751,347995,371962,388709,405816,433167,345478,455320,514766,591940,620149
"Other services, except government",224677,242804,254586,273099,258800,278200,276994,289928,302731,316524,321835,321381,317917,319384,323992,338468,349540,373127,391369,403342,419768,443498,462869,436187,467730,530159,568323,606756
Federal,481579,483488,488697,494146,544200,575768,634631,677189,750517,794834,810762,821508,809709,840239,871549,901002,917442,939934,951149,965074,988471,1060297,1096214,1117372,1228363,1355695,1397311,1440309
State and local,937202,978936,1024090,1054240,1214979,1285990,1390832,1480616,1661763,1793219,1870787,1897267,1815652,1839279,1879611,1981133,2118040,2208143,2265811,2322803,2399200,2617688,2720856,2727384,3013971,3394232,3491295,3578539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
