year,series,real_value_added_millions,hours_millions,real_value_added_per_hour,real_output_per_hour_thousands_1982_dollars,index_first_year_100,source_note
1964,Unmeasurable sectors,1.091272228192747e6,68757.401565,15.871341897077219,0.01587134189707722,131.99152799728992,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1964,Total economy,1.7468655411012e6,118099.99147000001,14.79141123854308,0.01479141123854308,166.7169451424102,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1965,Measurable sectors,705806.8566552416,50713.07959199998,13.917649299424188,0.013917649299424188,225.58814336037875,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1965,Unmeasurable sectors,1.149623109928455e6,70980.815063,16.19625118291599,0.01619625118291599,134.69358516274391,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1965,Total economy,1.8554299665836967e6,121693.89465499998,15.246697230323736,0.015246697230323736,171.84856432949732,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1966,Measurable sectors,754819.688158921,52126.75070200001,14.48046690026969,0.01448046690026969,234.7107311547509,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1966,Unmeasurable sectors,1.2191439678463417e6,73771.435929,16.52596228463934,0.01652596228463934,137.4355758776027,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1966,Total economy,1.9739636560052626e6,125898.18663100002,15.679047560794746,0.015679047560794745,176.72167110511137,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1967,Measurable sectors,769286.9858444651,51169.683990000005,15.034038240197171,0.01503403824019717,243.6834483216452,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1967,Unmeasurable sectors,1.2596707703068834e6,75378.224166,16.711335193209138,0.016711335193209137,138.97720062553503,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1967,Total economy,2.0289577561513484e6,126547.908156,16.033119675515945,0.016033119675515944,180.7124885041039,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1968,Measurable sectors,816999.8549029335,51103.69839699999,15.987098400512142,0.015987098400512142,259.1313926871563,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1968,Unmeasurable sectors,1.320992680192226e6,77175.133241,17.11681761620123,0.017116817616201232,142.3493316610731,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1968,Total economy,2.1379925350951594e6,128278.831638,16.66676027365549,0.01666676027365549,187.85437801933583,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1969,Measurable sectors,841172.7323385363,51431.172483999995,16.355309274744247,0.016355309274744247,265.09964247532696,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1969,Unmeasurable sectors,1.3561042362715662e6,79231.115038,17.11580400731664,0.01711580400731664,142.3409021416074,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1969,Total economy,2.1972769686101023e6,130662.287522,16.816458752416533,0.016816458752416535,189.54165941994174,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1970,Measurable sectors,826955.942586954,48715.285342,16.97528684849952,0.01697528684849952,275.14872380936447,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1970,Unmeasurable sectors,1.3738850150912423e6,78809.9068,17.432897345987502,0.017432897345987502,144.97795920712474,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1970,Total economy,2.200840957678196e6,127525.192142,17.258087760632797,0.017258087760632798,194.519348022381,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1971,Measurable sectors,850400.004790514,46990.886445,18.09712625416965,0.01809712625416965,293.3323741679136,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1971,Unmeasurable sectors,1.4257916211213327e6,79532.396089,17.92718051051566,0.017927180510515662,149.08858769540788,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1971,Total economy,2.2761916259118468e6,126523.282534,17.990298546832094,0.017990298546832092,202.77224177990004,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1972,Measurable sectors,908675.3219965207,48372.403716999994,18.784994173799472,0.01878499417379947,304.48187531771464,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1972,Unmeasurable sectors,1.4942627916639345e6,80900.789307,18.470311655347995,0.018470311655347994,153.6054527578724,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1972,Total economy,2.402938113660455e6,129273.193024,18.588061897831686,0.018588061897831687,209.5097516895061,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1973,Measurable sectors,949704.4435751224,50564.02365000001,18.7822165844415,0.0187822165844415,304.436853977343,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1973,Unmeasurable sectors,1.5619384033647582e6,83553.08926500002,18.693963527917653,0.01869396352791765,155.46541851195653,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1973,Total economy,2.5116428469398804e6,134117.11291500003,18.72723616211225,0.01872723616211225,211.07841257041224,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1974,Measurable sectors,897826.9393152293,49252.647677,18.22900862514436,0.01822900862514436,295.4700267678667,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1974,Unmeasurable sectors,1.5710825236530697e6,83839.445921,18.73918066125419,0.018739180661254188,155.84145971625102,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
